#,Category,Link,Repository Name
1,Malware Analysis / Sandbox / Forensics / Reverse Engineering,Abuse.ch,Abuse.ch
2,AI-Powered Tools,Deepl.ai,Deepl.ai
3,AI-Powered Tools,Freedom.ai,Freedom.ai
4,Data Breach / Leak Search,Leak.sx,Leak.sx
5,AI-Powered Tools,Passgan.ai,Passgan.ai
6,AI-Powered Tools,Speechif.ai,Speechif.ai
7,Malware Analysis / Sandbox / Forensics / Reverse Engineering,abuseipdb.com,abuseipdb.com
8,Malware Analysis / Sandbox / Forensics / Reverse Engineering,any.run,any.run
9,Malware Analysis / Sandbox / Forensics / Reverse Engineering,bazaar.abuse.ch,bazaar.abuse.ch
10,Data Breach / Leak Search,breachalarm.com,breachalarm.com
11,Data Breach / Leak Search,cryptome.org,cryptome.org
12,Malware Analysis / Sandbox / Forensics / Reverse Engineering,cuckoosandbox.org,cuckoosandbox.org
13,Malware Analysis / Sandbox / Forensics / Reverse Engineering,docguard.io,docguard.io
14,Malware Analysis / Sandbox / Forensics / Reverse Engineering,filesec.io/,
15,Malware Analysis / Sandbox / Forensics / Reverse Engineering,ghidra-sre.org,ghidra-sre.org
16,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/content-injection.md,content-injection.md
17,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/crlf.md,crlf.md
18,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/crypto.md,crypto.md
19,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/csv-injection.md,csv-injection.md
20,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/lfi.md,lfi.md
21,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/open-redirect.md,open-redirect.md
22,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/rce.md,rce.md
23,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/sqli.md,sqli.md
24,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/ssrf.md,ssrf.md
25,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/template-injection.md,template-injection.md
26,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/xslt.md,xslt.md
27,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/xss.md,xss.md
28,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),github.com/EdOverflow/bugbounty-cheatsheet/blob/master/cheatsheets/xxe.md,xxe.md
29,Other / Uncategorized Security Tools,github.com/guillaumemeyer/watermarks-remover,watermarks-remover
30,Payload / Exploit Frameworks,github.com/payloadbox/xss-payload-list,xss-payload-list
31,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/CSRF%20Injection,CSRF%20Injection
32,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/CSV%20Injection,CSV%20Injection
33,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Command%20Injection,Command%20Injection
34,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Directory%20Traversal,Directory%20Traversal
35,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/File%20Inclusion,File%20Inclusion
36,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/GraphQL%20Injection,GraphQL%20Injection
